ds,predicted_monthly_cost,service
2024-11-01,0.0,CloudFormation
2024-12-01,0.0,CloudFormation
2025-01-01,0.0,CloudFormation
2025-02-01,0.0,CloudFormation
2025-03-01,0.0,CloudFormation
2025-04-01,0.0,CloudFormation
2025-05-01,0.0,CloudFormation
2025-06-01,0.0,CloudFormation
2025-07-01,0.0,CloudFormation
2025-08-01,0.0,CloudFormation
2025-09-01,0.0,CloudFormation
2025-10-01,0.0,CloudFormation
2025-11-01,0.0,CloudFormation
2025-12-01,0.0,CloudFormation
2026-01-01,0.0,CloudFormation
2026-02-01,0.0,CloudFormation
2026-03-01,0.0,CloudFormation
2026-04-01,0.0,CloudFormation
2026-05-01,0.0,CloudFormation
2026-06-01,0.0,CloudFormation
2026-07-01,0.0,CloudFormation
2026-08-01,0.0,CloudFormation
2026-09-01,0.0,CloudFormation
2026-10-01,0.0,CloudFormation
2024-11-01,0.0,CloudShell
2024-12-01,0.0,CloudShell
2025-01-01,0.0,CloudShell
2025-02-01,1.1264728536406279e-07,CloudShell
2025-03-01,2.1542439789159527e-08,CloudShell
2025-04-01,2.6334818876305894e-09,CloudShell
2025-05-01,9.514226262191443e-10,CloudShell
2025-06-01,3.6300081357772466e-09,CloudShell
2025-07-01,0.0,CloudShell
2025-08-01,1.3106598347261332e-09,CloudShell
2025-09-01,0.0,CloudShell
2025-10-01,0.0,CloudShell
2025-11-01,0.0,CloudShell
2025-12-01,0.0,CloudShell
2026-01-01,0.0,CloudShell
2026-02-01,6.947657884559569e-08,CloudShell
2026-03-01,0.0,CloudShell
2026-04-01,0.0,CloudShell
2026-05-01,0.0,CloudShell
2026-06-01,0.0,CloudShell
2026-07-01,0.0,CloudShell
2026-08-01,0.0,CloudShell
2026-09-01,0.0,CloudShell
2026-10-01,0.0,CloudShell
2024-11-01,0.0,CloudTrail
2024-12-01,0.0,CloudTrail
2025-01-01,0.0,CloudTrail
2025-02-01,0.0,CloudTrail
2025-03-01,0.0,CloudTrail
2025-04-01,0.0,CloudTrail
2025-05-01,0.0,CloudTrail
2025-06-01,0.0,CloudTrail
2025-07-01,0.0,CloudTrail
2025-08-01,0.0,CloudTrail
2025-09-01,0.0,CloudTrail
2025-10-01,0.0,CloudTrail
2025-11-01,0.0,CloudTrail
2025-12-01,0.0,CloudTrail
2026-01-01,0.0,CloudTrail
2026-02-01,0.0,CloudTrail
2026-03-01,0.0,CloudTrail
2026-04-01,0.0,CloudTrail
2026-05-01,0.0,CloudTrail
2026-06-01,0.0,CloudTrail
2026-07-01,0.0,CloudTrail
2026-08-01,0.0,CloudTrail
2026-09-01,0.0,CloudTrail
2026-10-01,0.0,CloudTrail
2024-11-01,0.8061476931375795,CloudWatch
2024-12-01,16.523812891018032,CloudWatch
2025-01-01,12.353198533552208,CloudWatch
2025-02-01,6.920507225244572,CloudWatch
2025-03-01,7.985875573441446,CloudWatch
2025-04-01,0.0,CloudWatch
2025-05-01,6.24538380182551,CloudWatch
2025-06-01,8.80255281601136,CloudWatch
2025-07-01,2.2113368741787633,CloudWatch
2025-08-01,24.009160572084628,CloudWatch
2025-09-01,35.42849696643446,CloudWatch
2025-10-01,73.14497549985904,CloudWatch
2025-11-01,64.96241838079828,CloudWatch
2025-12-01,82.82166325780945,CloudWatch
2026-01-01,78.7967545755481,CloudWatch
2026-02-01,66.44077254023455,CloudWatch
2026-03-01,74.4797970811203,CloudWatch
2026-04-01,63.90587595318682,CloudWatch
2026-05-01,72.48417098698684,CloudWatch
2026-06-01,72.9211346322874,CloudWatch
2026-07-01,68.5050855581569,CloudWatch
2026-08-01,89.93990453142557,CloudWatch
2026-09-01,99.4901741176421,CloudWatch
2026-10-01,139.15891908153307,CloudWatch
2024-11-01,0.0,Cost Explorer
2024-12-01,0.004145651255489258,Cost Explorer
2025-01-01,0.02133680241616609,Cost Explorer
2025-02-01,0.06669184519594124,Cost Explorer
2025-03-01,0.0,Cost Explorer
2025-04-01,0.0,Cost Explorer
2025-05-01,0.0,Cost Explorer
2025-06-01,0.0,Cost Explorer
2025-07-01,5.537043536494863,Cost Explorer
2025-08-01,5.217220509677039,Cost Explorer
2025-09-01,0.0636456059004854,Cost Explorer
2025-10-01,0.01964104569921923,Cost Explorer
2025-11-01,0.5852178320725709,Cost Explorer
2025-12-01,0.6529057279926544,Cost Explorer
2026-01-01,0.6749948317670921,Cost Explorer
2026-02-01,0.6707409543080665,Cost Explorer
2026-03-01,0.6774471865208184,Cost Explorer
2026-04-01,0.6667416488519237,Cost Explorer
2026-05-01,0.6669468085526741,Cost Explorer
2026-06-01,0.5865053654480289,Cost Explorer
2026-07-01,6.22774727295943,Cost Explorer
2026-08-01,5.990522646907526,Cost Explorer
2026-09-01,0.7919721553499741,Cost Explorer
2026-10-01,0.7524110146800482,Cost Explorer
2024-11-01,0.0,DynamoDB
2024-12-01,5.996046149671673e-06,DynamoDB
2025-01-01,2.188995560718668e-06,DynamoDB
2025-02-01,0.0,DynamoDB
2025-03-01,0.00010205755963486432,DynamoDB
2025-04-01,0.00011732697535502622,DynamoDB
2025-05-01,7.559149995706863e-06,DynamoDB
2025-06-01,3.254950618490578e-06,DynamoDB
2025-07-01,5.5648029753626774e-06,DynamoDB
2025-08-01,1.3966283257251335e-07,DynamoDB
2025-09-01,0.0,DynamoDB
2025-10-01,1.1353018648265974e-06,DynamoDB
2025-11-01,0.0,DynamoDB
2025-12-01,0.0,DynamoDB
2026-01-01,0.0,DynamoDB
2026-02-01,0.0,DynamoDB
2026-03-01,6.680420083342803e-05,DynamoDB
2026-04-01,8.371742162481228e-05,DynamoDB
2026-05-01,0.0,DynamoDB
2026-06-01,0.0,DynamoDB
2026-07-01,0.0,DynamoDB
2026-08-01,0.0,DynamoDB
2026-09-01,0.0,DynamoDB
2026-10-01,0.0,DynamoDB
2024-11-01,0.028087761853713367,EC2 Container Registry (ECR)
2024-12-01,0.011144724563412693,EC2 Container Registry (ECR)
2025-01-01,0.09094060678509346,EC2 Container Registry (ECR)
2025-02-01,0.03435731092604114,EC2 Container Registry (ECR)
2025-03-01,0.0,EC2 Container Registry (ECR)
2025-04-01,0.0,EC2 Container Registry (ECR)
2025-05-01,0.0,EC2 Container Registry (ECR)
2025-06-01,4.3340402213900795,EC2 Container Registry (ECR)
2025-07-01,0.0,EC2 Container Registry (ECR)
2025-08-01,2.0345334326505955,EC2 Container Registry (ECR)
2025-09-01,2.3893416244102395,EC2 Container Registry (ECR)
2025-10-01,3.676945887795293,EC2 Container Registry (ECR)
2025-11-01,4.263455816483047,EC2 Container Registry (ECR)
2025-12-01,4.458113867303811,EC2 Container Registry (ECR)
2026-01-01,4.465414213427894,EC2 Container Registry (ECR)
2026-02-01,4.024729960877203,EC2 Container Registry (ECR)
2026-03-01,4.33819154591884,EC2 Container Registry (ECR)
2026-04-01,4.243784778126065,EC2 Container Registry (ECR)
2026-05-01,4.17420539274236,EC2 Container Registry (ECR)
2026-06-01,8.612136542053298,EC2 Container Registry (ECR)
2026-07-01,4.359885865682143,EC2 Container Registry (ECR)
2026-08-01,6.421194652743373,EC2 Container Registry (ECR)
2026-09-01,6.714003100067304,EC2 Container Registry (ECR)
2026-10-01,8.063816453675173,EC2 Container Registry (ECR)
2024-11-01,310.161896313891,EC2-Instances
2024-12-01,310.8295211973714,EC2-Instances
2025-01-01,304.9189800204864,EC2-Instances
2025-02-01,311.74619096729526,EC2-Instances
2025-03-01,334.52696433737805,EC2-Instances
2025-04-01,274.4931535932993,EC2-Instances
2025-05-01,350.0619728343737,EC2-Instances
2025-06-01,368.0995490747184,EC2-Instances
2025-07-01,437.62487554928464,EC2-Instances
2025-08-01,637.7975415807969,EC2-Instances
2025-09-01,13.55494745062456,EC2-Instances
2025-10-01,1.8629487370848983,EC2-Instances
2025-11-01,46.72877214126856,EC2-Instances
2025-12-01,39.62658816467897,EC2-Instances
2026-01-01,34.318760943821864,EC2-Instances
2026-02-01,67.30366172758623,EC2-Instances
2026-03-01,66.64879605862885,EC2-Instances
2026-04-01,15.312626271045954,EC2-Instances
2026-05-01,81.5274255994192,EC2-Instances
2026-06-01,110.3787934183688,EC2-Instances
2026-07-01,172.15426755083809,EC2-Instances
2026-08-01,372.6673647581547,EC2-Instances
2026-09-01,0.0,EC2-Instances
2026-10-01,0.0,EC2-Instances
2024-11-01,27.808999777364562,EC2-Other
2024-12-01,49.80877313345892,EC2-Other
2025-01-01,42.44276262380048,EC2-Other
2025-02-01,46.41401325116117,EC2-Other
2025-03-01,65.78495726098006,EC2-Other
2025-04-01,17.647768195201053,EC2-Other
2025-05-01,64.27833346004489,EC2-Other
2025-06-01,58.655966936229866,EC2-Other
2025-07-01,63.88245940874388,EC2-Other
2025-08-01,138.38134624007526,EC2-Other
2025-09-01,184.16115120498057,EC2-Other
2025-10-01,202.49581272329903,EC2-Other
2025-11-01,188.9510182127496,EC2-Other
2025-12-01,217.9516371774753,EC2-Other
2026-01-01,211.8548661255017,EC2-Other
2026-02-01,199.5747097399461,EC2-Other
2026-03-01,237.90018760983438,EC2-Other
2026-04-01,184.1092409015509,EC2-Other
2026-05-01,236.60103865132123,EC2-Other
2026-06-01,226.06264399985898,EC2-Other
2026-07-01,236.99191597954461,EC2-Other
2026-08-01,310.260487758126,EC2-Other
2026-09-01,351.8723838632924,EC2-Other
2026-10-01,375.44352166029165,EC2-Other
2024-11-01,10.763404111896865,Elastic Container Service
2024-12-01,163.96650892129185,Elastic Container Service
2025-01-01,122.29724694670915,Elastic Container Service
2025-02-01,0.22845765510306149,Elastic Container Service
2025-03-01,4.480453990639384,Elastic Container Service
2025-04-01,0.0,Elastic Container Service
2025-05-01,7.678788433635055,Elastic Container Service
2025-06-01,38.20259168114669,Elastic Container Service
2025-07-01,0.9355225379966673,Elastic Container Service
2025-08-01,2.7961730318521782,Elastic Container Service
2025-09-01,0.47773361586880037,Elastic Container Service
2025-10-01,0.22310605150609636,Elastic Container Service
2025-11-01,1.3719939682779316,Elastic Container Service
2025-12-01,154.2636686341687,Elastic Container Service
2026-01-01,114.32126302983876,Elastic Container Service
2026-02-01,0.0,Elastic Container Service
2026-03-01,0.0,Elastic Container Service
2026-04-01,0.0,Elastic Container Service
2026-05-01,0.0,Elastic Container Service
2026-06-01,29.58648132834085,Elastic Container Service
2026-07-01,0.0,Elastic Container Service
2026-08-01,0.0,Elastic Container Service
2026-09-01,0.0,Elastic Container Service
2026-10-01,0.0,Elastic Container Service
2024-11-01,1.8164245159510255,Elastic Container Service for Kubernetes
2024-12-01,0.0,Elastic Container Service for Kubernetes
2025-01-01,0.0,Elastic Container Service for Kubernetes
2025-02-01,250.3630274054881,Elastic Container Service for Kubernetes
2025-03-01,298.0648673993389,Elastic Container Service for Kubernetes
2025-04-01,7.654993189250103,Elastic Container Service for Kubernetes
2025-05-01,176.6185041569344,Elastic Container Service for Kubernetes
2025-06-01,0.0,Elastic Container Service for Kubernetes
2025-07-01,1.078401073734103,Elastic Container Service for Kubernetes
2025-08-01,52.33142452034779,Elastic Container Service for Kubernetes
2025-09-01,95.66642150312232,Elastic Container Service for Kubernetes
2025-10-01,147.3840255868093,Elastic Container Service for Kubernetes
2025-11-01,62.82331111484907,Elastic Container Service for Kubernetes
2025-12-01,61.5456508726666,Elastic Container Service for Kubernetes
2026-01-01,55.96874102345092,Elastic Container Service for Kubernetes
2026-02-01,301.56791443043994,Elastic Container Service for Kubernetes
2026-03-01,363.14709557005574,Elastic Container Service for Kubernetes
2026-04-01,66.87813922645671,Elastic Container Service for Kubernetes
2026-05-01,235.31786530465507,Elastic Container Service for Kubernetes
2026-06-01,52.639975035405854,Elastic Container Service for Kubernetes
2026-07-01,60.950192001913365,Elastic Container Service for Kubernetes
2026-08-01,111.11117616816922,Elastic Container Service for Kubernetes
2026-09-01,153.9173876045932,Elastic Container Service for Kubernetes
2026-10-01,206.86775356863285,Elastic Container Service for Kubernetes
2024-11-01,0.5484839336188746,Elastic Load Balancing
2024-12-01,17.316413863765394,Elastic Load Balancing
2025-01-01,13.606861252296412,Elastic Load Balancing
2025-02-01,0.9531242573915165,Elastic Load Balancing
2025-03-01,9.914500850648233,Elastic Load Balancing
2025-04-01,12.211243295960736,Elastic Load Balancing
2025-05-01,30.824897315917518,Elastic Load Balancing
2025-06-01,46.12212914662469,Elastic Load Balancing
2025-07-01,33.47237730271922,Elastic Load Balancing
2025-08-01,45.26147628603623,Elastic Load Balancing
2025-09-01,50.874449493322025,Elastic Load Balancing
2025-10-01,80.75612391268474,Elastic Load Balancing
2025-11-01,66.86648104248646,Elastic Load Balancing
2025-12-01,86.51452784170944,Elastic Load Balancing
2026-01-01,83.29191180734067,Elastic Load Balancing
2026-02-01,64.10153469027394,Elastic Load Balancing
2026-03-01,80.38672604742906,Elastic Load Balancing
2026-04-01,80.51947913976677,Elastic Load Balancing
2026-05-01,101.56800297572711,Elastic Load Balancing
2026-06-01,115.17179169299264,Elastic Load Balancing
2026-07-01,104.72306780907982,Elastic Load Balancing
2026-08-01,116.28773223295553,Elastic Load Balancing
2026-09-01,119.75708324952086,Elastic Load Balancing
2026-10-01,151.88460373125255,Elastic Load Balancing
2024-11-01,1.7393564666993113e-06,Glacier
2024-12-01,1.7866500346375867e-06,Glacier
2025-01-01,1.7727053881372346e-06,Glacier
2025-02-01,1.6186604380675364e-06,Glacier
2025-03-01,1.7765705249363183e-06,Glacier
2025-04-01,1.6989284296510963e-06,Glacier
2025-05-01,1.7776847767632828e-06,Glacier
2025-06-01,1.7080473136141107e-06,Glacier
2025-07-01,1.7908519114286578e-06,Glacier
2025-08-01,6.50277439110925e-07,Glacier
2025-09-01,2.670346590617563e-09,Glacier
2025-10-01,0.0,Glacier
2025-11-01,0.0,Glacier
2025-12-01,0.0,Glacier
2026-01-01,0.0,Glacier
2026-02-01,0.0,Glacier
2026-03-01,0.0,Glacier
2026-04-01,0.0,Glacier
2026-05-01,0.0,Glacier
2026-06-01,0.0,Glacier
2026-07-01,0.0,Glacier
2026-08-01,0.0,Glacier
2026-09-01,0.0,Glacier
2026-10-01,0.0,Glacier
2024-11-01,0.0,Glue
2024-12-01,0.0,Glue
2025-01-01,0.0,Glue
2025-02-01,0.0,Glue
2025-03-01,0.0,Glue
2025-04-01,0.0,Glue
2025-05-01,0.0,Glue
2025-06-01,0.0,Glue
2025-07-01,0.0,Glue
2025-08-01,0.0,Glue
2025-09-01,0.0,Glue
2025-10-01,0.0,Glue
2025-11-01,0.0,Glue
2025-12-01,0.0,Glue
2026-01-01,0.0,Glue
2026-02-01,0.0,Glue
2026-03-01,0.0,Glue
2026-04-01,0.0,Glue
2026-05-01,0.0,Glue
2026-06-01,0.0,Glue
2026-07-01,0.0,Glue
2026-08-01,0.0,Glue
2026-09-01,0.0,Glue
2026-10-01,0.0,Glue
2024-11-01,0.0,Inspector
2024-12-01,0.012003920540915536,Inspector
2025-01-01,0.015184898004982093,Inspector
2025-02-01,0.05884502391672938,Inspector
2025-03-01,0.014660520552678954,Inspector
2025-04-01,0.0034805280946982597,Inspector
2025-05-01,0.0,Inspector
2025-06-01,0.0,Inspector
2025-07-01,0.0,Inspector
2025-08-01,0.0,Inspector
2025-09-01,0.0,Inspector
2025-10-01,4.655981217239321,Inspector
2025-11-01,0.5018185654951489,Inspector
2025-12-01,0.0,Inspector
2026-01-01,0.0,Inspector
2026-02-01,0.0,Inspector
2026-03-01,0.0,Inspector
2026-04-01,0.0,Inspector
2026-05-01,0.0,Inspector
2026-06-01,0.0,Inspector
2026-07-01,0.0,Inspector
2026-08-01,0.0,Inspector
2026-09-01,0.0,Inspector
2026-10-01,0.0,Inspector
2024-11-01,0.36286741140740586,Key Management Service
2024-12-01,1.0154471938539837,Key Management Service
2025-01-01,0.9988162756033658,Key Management Service
